s,ell,m,n,branch_id,source_coordinate_id,source_coordinate_numerator,source_coordinate_denominator,source_transformation_id,spin_numerator,spin_denominator,spin_float,spin_binary64_hex,omega_re_M,omega_im_M,angular_A_re,angular_A_im,root_solver_success,optimizer_residual_abs,continued_fraction_error,continued_fraction_terms,angular_padding,angular_refinement_padding,angular_refinement_abs,repeat_polish_delta_abs,predictor_correction_abs,predictor_correction_over_separation,assigned_separation_abs,assignment_relative_gap,canonical_polish_delta_abs,independent_path_delta_abs,reverse_delta_abs,angular_overlap_min,schedule_a_steps,schedule_b_steps,minimum_adaptive_step
-2,2,1,0,schwarzschild-overtone-continuation,M-kappa,1,100,kerr-prograde-spin-from-dimensionless-surface-gravity,9005323341098917,9007199254740992,0.999791731748236,0x1.ffe4b3ad56fa5p-1,0.5812664012885874,-0.03844962899208911,3.0213369816092808,0.07905095768866997,true,2.9069931782354892e-12,1.359812473041063e-13,1855,20,24,1.3324765027951542e-14,0.0,0.00033588505339121226,0.00371402891905418,0.09040091829930019,256.3484736706516,0.0,6.463192117245591e-14,8.142017357683242e-14,0.9999999940810185,5,7,0.12
-2,2,1,0,schwarzschild-overtone-continuation,M-kappa,1,200,kerr-prograde-spin-from-dimensionless-surface-gravity,9006739738925335,9007199254740992,0.9999489834961278,0x1.fff9502b91917p-1,0.5813924275806513,-0.038303109076790555,3.0208826434240788,0.07877330451069735,true,6.774704544358747e-12,9.929119605374338e-15,3512,20,24,4.444555191083292e-15,0.0,0.00033588505339121226,0.00371402891905418,0.09040091829930019,256.3484736706516,0.0,6.352732260095135e-14,2.7641795209087856e-14,0.9999999940810185,10,13,0.12
-2,2,1,0,schwarzschild-overtone-continuation,M-kappa,1,500,kerr-prograde-spin-from-dimensionless-surface-gravity,9007126616916007,9007199254740992,0.9999919355814243,0x1.fffef1672c027p-1,0.5814267606175526,-0.03826299197419021,3.020758703613508,0.07869723266216973,true,2.961974189931557e-10,9.98558525283998e-15,8351,20,24,8.908848018021073e-16,0.0,0.00033588505339121226,0.00371402891905418,0.09040091829930019,256.3484736706516,0.0,6.5979741248900096e-12,6.64567715821794e-14,0.9999999940810185,16,21,0.12
-2,2,1,0,schwarzschild-overtone-continuation,M-kappa,1,1000,kerr-prograde-spin-from-dimensionless-surface-gravity,9007181168049979,9007199254740992,0.9999979919739198,0x1.ffffbc9f2ff3bp-1,0.5814315985915108,-0.03825733202976156,3.0207412331570973,0.07868649828584828,true,7.088554314349275e-10,9.997626953243362e-15,15548,20,24,6.217248937900877e-15,0.0,0.00033588505339121226,0.00371402891905418,0.09040091829930019,256.3484736706516,0.0,5.733090966680569e-12,6.870721196241025e-14,0.9999999940810185,21,27,0.12
-2,2,2,0,schwarzschild-overtone-continuation,a-over-M,1999,2000,identity-a-over-M,4501347827556811,4503599627370496,0.9995,0x1.ffbe76c8b4396p-1,0.9684382574496465,-0.007577015072536927,0.6804579613467945,0.032096470443790236,true,8.152849664426285e-14,6.966718591669129e-15,1000,20,24,1.9985098616016032e-15,2.8500720108458625e-16,0.002655032837852957,0.13373150517157487,0.015153416922022931,3.484353829789523,1.820851775582286e-15,5.916424398721902e-16,7.916499485036041e-16,0.9999993059786948,3,4,0.040000000000000036
-2,2,2,0,schwarzschild-overtone-continuation,M-kappa,1,100,kerr-prograde-spin-from-dimensionless-surface-gravity,9005323341098917,9007199254740992,0.999791731748236,0x1.ffe4b3ad56fa5p-1,0.9794353135776,-0.004963994294415683,0.632522864793319,0.021131994999511416,true,6.972400720302241e-14,9.901394503842693e-15,1260,20,24,1.3329179921125024e-15,0.0,0.002655032837852957,0.13373150517157487,0.00992816420586177,3.484353829789523,5.364834285981409e-15,4.145989107584569e-16,2.1340236539840872e-15,0.9999993059786948,6,8,0.040000000000000036
-2,2,2,0,schwarzschild-overtone-continuation,a-over-M,9999,10000,identity-a-over-M,4503149267407759,4503599627370496,0.9999,0x1.fff2e48e8a71ep-1,0.9856735483827012,-0.0034686730676767082,0.6054655571751668,0.01480658380056171,true,1.3112517675870431e-12,9.996130894122956e-15,1773,20,24,6.662783593823664e-16,0.0,0.002655032837852957,0.13373150517157487,0.006937547743355487,3.484353829789523,0.0,4.451554032344797e-16,1.9668429104900093e-15,0.9999993059786948,9,12,0.040000000000000036
-2,2,2,0,schwarzschild-overtone-continuation,M-kappa,1,200,kerr-prograde-spin-from-dimensionless-surface-gravity,9006739738925335,9007199254740992,0.9999489834961278,0x1.fff9502b91917p-1,0.9897315954224593,-0.0024910351142465466,0.5879162337468655,0.010651881564654327,true,2.851148343517741e-12,1.1674744153791499e-14,2398,20,24,1.333152767288562e-15,0.0,0.002655032837852957,0.13373150517157487,0.004982030004944762,3.484353829789523,0.0,4.233638245560901e-15,2.1757416077900332e-15,0.9999993059786948,12,15,0.040000000000000036
-2,2,2,0,schwarzschild-overtone-continuation,M-kappa,1,500,kerr-prograde-spin-from-dimensionless-surface-gravity,9007126616916007,9007199254740992,0.9999919355814243,0x1.fffef1672c027p-1,0.9958959649528077,-0.0009985784229040661,0.5613354768911178,0.004281093513839423,true,3.858758280561424e-12,2.8658841483710816e-14,5634,20,24,4.440949357558723e-15,0.0,0.002655032837852957,0.13373150517157487,0.001997198637707502,3.484353829789523,0.0,9.58836232709553e-16,2.525757381022231e-15,0.9999993059786948,18,23,0.040000000000000036
-2,2,2,0,schwarzschild-overtone-continuation,M-kappa,1,1000,kerr-prograde-spin-from-dimensionless-surface-gravity,9007181168049979,9007199254740992,0.9999979919739198,0x1.ffffbc9f2ff3bp-1,0.9979485204094692,-0.0004996426609646101,0.5525054872376283,0.0021438851834310055,true,1.5924462403002926e-11,9.767785201001778e-15,10657,20,24,1.1102396263467957e-15,0.0,0.002655032837852957,0.13373150517157487,0.00099926955633728,3.484353829789523,0.0,1.3348536700254405e-15,2.1132442395667497e-15,0.9999993059786948,23,29,0.040000000000000036
-2,2,2,1,schwarzschild-overtone-continuation,a-over-M,1999,2000,identity-a-over-M,4501347827556811,4503599627370496,0.9995,0x1.ffbe76c8b4396p-1,0.9684348015233156,-0.02273043160048029,0.6808748915304241,0.09628629639766118,true,1.0971746784520692e-12,1.8621624263021126e-15,1000,20,24,4.518280359883027e-16,0.0,0.0031577099595930633,0.15905087868259374,0.015152539025908709,3.484353829789523,0.0,6.981769570567955e-15,5.9311918165051156e-15,0.9999990379650667,3,4,0.040000000000000036
-2,2,2,1,schwarzschild-overtone-continuation,M-kappa,1,100,kerr-prograde-spin-from-dimensionless-surface-gravity,9005323341098917,9007199254740992,0.999791731748236,0x1.ffe4b3ad56fa5p-1,0.9794342493931967,-0.014892158443250418,0.6327004171464996,0.06339659903967111,true,1.2476634781275278e-13,9.96280013635688e-15,1319,20,24,1.5565409952966684e-15,0.0,0.0031577099595930633,0.15905087868259374,0.009927658871162816,3.484353829789523,9.246809856582109e-15,3.0937512915369886e-15,7.766531944728626e-15,0.9999990379650667,6,8,0.040000000000000036
-2,2,2,1,schwarzschild-overtone-continuation,a-over-M,9999,10000,identity-a-over-M,4503149267407759,4503599627370496,0.9999,0x1.fff2e48e8a71ep-1,0.985673429698067,-0.010406220810009293,0.605550631465887,0.04442057398290332,true,2.4167352038888646e-12,9.873935937744399e-15,1832,20,24,4.518280359883027e-16,9.188565471403793e-15,0.0031577099595930633,0.15905087868259374,0.006937547743355487,3.484353829789523,1.0677206084240662e-14,8.646655341191824e-15,9.626406814923e-15,0.9999990379650667,9,12,0.040000000000000036
-2,2,2,1,schwarzschild-overtone-continuation,M-kappa,1,200,kerr-prograde-spin-from-dimensionless-surface-gravity,9006739738925335,9007199254740992,0.9999489834961278,0x1.fff9502b91917p-1,0.9897315964562999,-0.007473065119177587,0.5879598681451599,0.03195545947359858,true,3.4354996225382033e-12,2.068235542330935e-14,2433,20,24,2.0004362990848792e-15,6.221708116791105e-15,0.0031577099595930633,0.15905087868259374,0.004982030004944762,3.484353829789523,2.0686281854940582e-14,6.184633024929204e-15,4.157555700062724e-15,0.9999990379650667,12,15,0.040000000000000036
-2,2,2,1,schwarzschild-overtone-continuation,M-kappa,1,500,kerr-prograde-spin-from-dimensionless-surface-gravity,9007126616916007,9007199254740992,0.9999919355814243,0x1.fffef1672c027p-1,0.9958959521039589,-0.0029957770605856383,0.5613425507460412,0.012843458794682863,true,7.319385699489432e-12,5.402760928029343e-14,5684,20,24,1.5544516256470755e-15,0.0,0.0031577099595930633,0.15905087868259374,0.0019971670617224446,3.484353829789523,1.5857146962535766e-14,1.1395603576086067e-14,7.11409568747747e-15,0.9999990379650667,18,23,0.040000000000000036
-2,2,2,1,schwarzschild-overtone-continuation,M-kappa,1,1000,kerr-prograde-spin-from-dimensionless-surface-gravity,9007181168049979,9007199254740992,0.9999979919739198,0x1.ffffbc9f2ff3bp-1,0.9979485278825757,-0.0014989122172694757,0.5525072127114321,0.006431587816141145,true,8.968881412999631e-12,9.873310604820458e-15,10604,20,24,1.3323399077344022e-15,0.0,0.0031577099595930633,0.15905087868259374,0.00099926955633728,3.484353829789523,1.7028563168764233e-14,3.1304804780181784e-14,3.923274176474466e-15,0.9999990379650667,23,29,0.040000000000000036
-2,2,2,2,schwarzschild-overtone-continuation,a-over-M,1999,2000,identity-a-over-M,4501347827556811,4503599627370496,0.9995,0x1.ffbe76c8b4396p-1,0.9684296224049985,-0.03788296974128137,0.6817013532541203,0.16047096975885922,true,3.173672282921554e-13,6.367688004948107e-14,1000,20,24,6.684427777288335e-16,0.0,0.003977872618704399,0.20034326556080662,0.015152539025908709,3.484353829789523,0.0,1.547563292801411e-14,1.2295062116593288e-14,0.9999985011883371,3,4,0.040000000000000036
-2,2,2,2,schwarzschild-overtone-continuation,M-kappa,1,100,kerr-prograde-spin-from-dimensionless-surface-gravity,9005323341098917,9007199254740992,0.999791731748236,0x1.ffe4b3ad56fa5p-1,0.9794317122512657,-0.02481981699025758,0.6330572429204016,0.10565863294722927,true,2.4674812998757467e-12,1.321685888750201e-13,1327,20,24,3.1117206475519724e-15,8.937984901149841e-15,0.003977872618704399,0.20034326556080662,0.009927658871162816,3.484353829789523,7.773077366400567e-14,1.773938642308255e-14,1.4284558738054644e-14,0.9999985011883371,6,8,0.040000000000000036
-2,2,2,2,schwarzschild-overtone-continuation,a-over-M,9999,10000,identity-a-over-M,4503149267407759,4503599627370496,0.9999,0x1.fff2e48e8a71ep-1,0.9856726887451306,-0.01734412321379606,0.6057229420610373,0.07403594870337775,true,5.647624049257187e-12,9.917710039750593e-15,1811,20,24,1.4655364458042814e-15,4.8629988319485794e-14,0.003977872618704399,0.20034326556080662,0.006937902443312324,3.484353829789523,8.461015903014635e-14,3.255153463604112e-14,1.9216562304243e-14,0.9999985011883371,9,12,0.040000000000000036
