s,ell,m,n,branch_id,chi_grid_family,chi_grid_index,chi_numerator,chi_denominator,chi_float,chi_float_hex,omega_re_M,omega_im_M,angular_A_re,angular_A_im,root_solver_success,optimizer_residual_abs,continued_fraction_error,continued_fraction_terms,angular_padding,angular_refinement_padding,angular_refinement_abs,repeat_polish_delta_abs,branch_seed_delta_abs,branch_seed_optimizer_residual_abs,continuation_step_maximum,nearest_overtone_separation_abs,reference_member,reference_row,reference_abs_delta_omega_M,reference_abs_delta_A
-2,2,-2,0,schwarzschild-overtone-continuation,ell23-uniform-40,0,0,1,0.0,0x0.0p+0,0.3736716844180417,-0.08896231568893412,4.0,0.0,true,1.0728799188324372e-13,7.632783294297951e-17,1000,20,24,0.0,0.0,0.0,4.7004933890560566e-14,0.004,,KerrQNMEFs-2/l2/s-2l2m-2n0.dat,1,1.5859585452872752e-15,0.0
-2,2,-2,0,schwarzschild-overtone-continuation,ell23-uniform-40,1,19,780,0.02435897435897436,0x1.8f18f18f18f19p-6,0.37065003555144505,-0.08900789984737985,4.024019954224148,-0.00575294688192762,true,1.0017559023596051e-13,1.2412670766236366e-16,1000,20,24,5.3290843530542645e-15,0.0,6.156875516883687e-15,1.22041389073449e-13,0.004,,,,,
-2,2,-2,0,schwarzschild-overtone-continuation,ell23-uniform-40,2,19,390,0.04871794871794872,0x1.8f18f18f18f19p-5,0.36770952376222865,-0.08904765610586975,4.047548914295641,-0.011454514324371414,true,1.652704112758165e-14,5.428769931944591e-16,1000,20,24,1.0658304230166624e-14,0.0,2.6199631514184598e-15,1.2747178328302916e-13,0.004,,,,,
-2,2,-2,0,schwarzschild-overtone-continuation,ell23-uniform-40,3,19,260,0.07307692307692308,0x1.2b52b52b52b53p-4,0.3648463966702139,-0.08908191934040137,4.070607557302838,-0.017105059387560323,true,1.2700412776847836e-13,4.1191555942998253e-16,1000,20,24,5.329291871547129e-15,0.0,0.0,1.8567300956055586e-13,0.004,,,,,
-2,2,-2,0,schwarzschild-overtone-continuation,ell23-uniform-40,4,19,195,0.09743589743589744,0x1.8f18f18f18f19p-4,0.362057149125134,-0.08911099649555272,4.0932152659592775,-0.022704962164913942,true,1.847930122711355e-13,3.859827952908071e-16,1000,20,24,1.5987285340413164e-14,0.0,0.0,2.0186837557289389e-13,0.004,,,,,
-2,2,-2,0,schwarzschild-overtone-continuation,ell23-uniform-40,5,19,156,0.12179487179487179,0x1.f2df2df2df2dfp-4,0.3593385020699242,-0.08913516938843824,4.115390235250963,-0.028254620770370387,true,2.3123576330665573e-14,3.331391796911832e-16,1000,20,24,8.882174501207515e-15,1.0235750533041806e-15,3.612732295661811e-15,1.1779801132289415e-13,0.004,,,,,
-2,2,-2,0,schwarzschild-overtone-continuation,ell23-uniform-40,6,19,130,0.14615384615384616,0x1.2b52b52b52b53p-3,0.35668738359772095,-0.08915469718637173,4.137149568209552,-0.033754447103062316,true,7.349450014533785e-14,1.22614398128331e-16,1000,20,24,8.88188177466077e-15,0.0,5.23943008812145e-15,2.3072272283804074e-13,0.004,,,,,
-2,2,-2,0,schwarzschild-overtone-continuation,ell23-uniform-40,7,133,780,0.17051282051282052,0x1.5d35d35d35d36p-3,0.3541009119354343,-0.08916981860242833,4.158509362118016,-0.0392048632703949,true,1.246617817651181e-14,1.8319205572553517e-16,1000,20,24,1.7807424444409652e-15,0.0,3.3313917969118324e-15,1.0986160316453369e-14,0.004,,,,,
-2,2,-2,0,schwarzschild-overtone-continuation,ell23-uniform-40,8,38,195,0.19487179487179487,0x1.8f18f18f18f19p-3,0.3515763801239183,-0.08918075384647346,4.179484786276069,-0.0446062985703892,true,1.4022253051002082e-14,1.1364755910069911e-16,1000,20,24,1.4210861491463966e-14,0.0,6.195464776079161e-15,4.412602326645539e-14,0.004,,,,,
-2,2,-2,0,schwarzschild-overtone-continuation,ell23-uniform-40,9,57,260,0.21923076923076923,0x1.c0fc0fc0fc0fcp-3,0.34911124219627676,-0.08918770636369183,4.200090152300331,-0.04995918695043712,true,2.401779625492033e-15,3.808340345537821e-16,1000,20,24,1.2435125148379805e-14,7.850462293418876e-16,2.9052345828309737e-15,2.0038218502588872e-14,0.004,,,,,
-2,2,-2,0,schwarzschild-overtone-continuation,ell23-uniform-40,10,19,78,0.24358974358974358,0x1.f2df2df2df2dfp-3,0.34670310068231935,-0.08919086438791167,4.220338977804251,-0.05526396487300381,true,6.575670183899638e-14,2.7548807028800633e-16,1000,20,24,1.7772239894833365e-15,3.359026730943447e-15,4.063917697506171e-15,1.4928863154818698e-13,0.004,,,,,
-2,2,-2,0,schwarzschild-overtone-continuation,ell23-uniform-40,11,209,780,0.26794871794871794,0x1.1261261261261p-2,0.34434969528998244,-0.08919040233348526,4.240244044194353,-0.060521069530146826,true,1.582759113744879e-14,4.440892098500626e-16,1000,20,24,1.2434528852968096e-14,0.0,1.479726242848267e-14,1.284364422307125e-13,0.004,,,,,
